id;machine_code;file_bucket;file_name;file_suffix;file_size_kb;final_name;file_path;create_time;create_user;update_time;update_user
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2058;Producer;Implementation Electronics Officer;2020-02-05T23:19:55;30424;2020-02-05T23:28:18;52475
2;web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;61838;syndicate;Mississippi Refined Rubber Chicken Table;2020-02-06T12:35:24;1326;2020-02-05T15:22:42;94220
3;South Dakota envisioneer Music;Nakfa;Bahamian Dollar Investment Account;Games Regional Digitized;66252;hardware Costa Rica Mayotte;Industrial;2020-02-05T17:56:12;77513;2020-02-06T03:21:26;93949
4;Chief Credit Card Account;archive Georgia Aruba;software scale interactive;Louisiana Specialist Home Loan Account;27599;scalable;Small;2020-02-05T14:27:58;42340;2020-02-05T19:37:03;39488
5;24 hour;overriding;monitor 1080p Checking Account;world-class Frozen IB;62329;archive Fantastic Plastic Chicken;payment;2020-02-05T23:57:37;63755;2020-02-06T07:33:29;88721
6;Junction Frozen;synthesizing hard drive Robust;Avon;system Small;43933;red;withdrawal knowledge base Buckinghamshire;2020-02-05T16:22:12;13933;2020-02-06T08:10:06;60441
7;Saint Lucia white;Generic neutral Salad;Auto Loan Account modular Refined;digital maroon;89255;Ghana back-end National;Direct;2020-02-06T07:37:13;22793;2020-02-05T22:36:25;42710
8;copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;21876;Oklahoma facilitate;Engineer;2020-02-05T15:03:10;24687;2020-02-06T08:06:31;69630
9;card Plastic;Computers Personal Loan Account Berkshire;Home;Investor Public-key;14489;Berkshire Designer;Credit Card Account;2020-02-06T12:12:39;76161;2020-02-06T05:16:47;23763
10;transmitter;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;85835;neural-net red;Buckinghamshire Future-proofed deposit;2020-02-06T09:57:59;94052;2020-02-05T21:34:08;39757
